Program_ID,Code,Label_Counterexample,Search_Steps
2596,"[('+', 'x8', 'x9', 'v0'), ('*', 'x5', 'x7', 'v1'), ('*', 'v0', 'x4', 'v2'), ('//', 'x6', 'x5', 'v3'), ('*', 'v0', 'x1', 'v4'), ('*', 'v0', 'x9', 'v5'), ('*', 'x7', 'x6', 'v6'), ('//', 'v5', 'x3', 'v7'), ('+', 'x7', 'x9', 'v8'), ('//', 'v4', 'const_1', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 0, 0, 1)",258
2597,"[('+', 'x7', 'x9', 'v0'), ('//', 'x3', 'x3', 'v1'), ('//', 'x0', 'const_1', 'v2'), ('+', 'x3', 'x0', 'v3'), ('//', 'const_0', 'v0', 'v4'), ('+', 'x2', 'v0', 'v5'), ('//', 'x1', 'v5', 'v6'), ('//', 'v3', 'v4', 'v7'), ('*', 'x7', 'x5', 'v8'), ('*', 'v5', 'x5', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",18
2598,"[('//', 'x7', 'const_1', 'v0'), ('*', 'x2', 'x9', 'v1'), ('+', 'v1', 'x3', 'v2'), ('*', 'x7', 'x0', 'v3'), ('//', 'x4', 'v2', 'v4'), ('//', 'x7', 'x2', 'v5'), ('//', 'const_1', 'x3', 'v6'), ('*', 'v4', 'x3', 'v7'), ('*', 'x2', 'v4', 'v8'), ('//', 'x4', 'x2', 'v9')]","(0, 0, 1, 0, 1, 0, 0, 0, 0, 0)",161
2599,"[('*', 'x3', 'x2', 'v0'), ('*', 'x8', 'const_1', 'v1'), ('*', 'const_0', 'x6', 'v2'), ('//', 'x3', 'x4', 'v3'), ('+', 'x8', 'x6', 'v4'), ('*', 'x6', 'x6', 'v5'), ('+', 'x2', 'v0', 'v6'), ('//', 'x7', 'x4', 'v7'), ('+', 'x9', 'v5', 'v8'), ('*', 'x1', 'x5', 'v9')]","(0, 1, 0, 0, 0, 1, 0, 0, 0, 0)",273
2600,"[('+', 'x2', 'x4', 'v0'), ('//', 'x2', 'x1', 'v1'), ('*', 'x5', 'const_1', 'v2'), ('*', 'x1', 'x9', 'v3'), ('+', 'x0', 'x2', 'v4'), ('+', 'v1', 'x6', 'v5'), ('*', 'v1', 'x8', 'v6'), ('//', 'const_1', 'x9', 'v7'), ('+', 'const_1', 'v7', 'v8'), ('//', 'v4', 'x9', 'v9')]","(0, 0, 1, 0, 0, 0, 0, 0, 0, 1)",130
2601,"[('+', 'x3', 'x9', 'v0'), ('*', 'x6', 'x1', 'v1'), ('+', 'x3', 'const_0', 'v2'), ('*', 'x5', 'x7', 'v3'), ('*', 'x6', 'v3', 'v4'), ('*', 'v4', 'x9', 'v5'), ('//', 'x9', 'const_1', 'v6'), ('*', 'x0', 'x6', 'v7'), ('*', 'const_1', 'v0', 'v8'), ('+', 'v3', 'v4', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",21
2602,"[('//', 'const_1', 'x7', 'v0'), ('+', 'x1', 'x1', 'v1'), ('*', 'x6', 'x7', 'v2'), ('//', 'x3', 'const_1', 'v3'), ('+', 'x0', 'x9', 'v4'), ('//', 'x0', 'x9', 'v5'), ('//', 'v5', 'x6', 'v6'), ('//', 'x2', 'const_1', 'v7'), ('//', 'v4', 'x2', 'v8'), ('+', 'x8', 'x2', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
2603,"[('*', 'x6', 'x5', 'v0'), ('//', 'x5', 'x4', 'v1'), ('*', 'x4', 'const_0', 'v2'), ('//', 'v1', 'x3', 'v3'), ('+', 'x5', 'v1', 'v4'), ('+', 'x2', 'x8', 'v5'), ('*', 'x0', 'x3', 'v6'), ('+', 'x8', 'v6', 'v7'), ('*', 'v0', 'x2', 'v8'), ('+', 'x1', 'const_0', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",257
2604,"[('*', 'x8', 'const_0', 'v0'), ('//', 'x1', 'const_1', 'v1'), ('*', 'v0', 'x6', 'v2'), ('+', 'v2', 'x3', 'v3'), ('//', 'x4', 'x5', 'v4'), ('+', 'x9', 'x8', 'v5'), ('*', 'v0', 'v5', 'v6'), ('//', 'x5', 'v5', 'v7'), ('//', 'x1', 'v1', 'v8'), ('//', 'x7', 'x6', 'v9')]","(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",13
2605,"[('+', 'x7', 'x5', 'v0'), ('+', 'const_1', 'const_0', 'v1'), ('*', 'const_0', 'x4', 'v2'), ('*', 'v1', 'x3', 'v3'), ('*', 'v1', 'v1', 'v4'), ('+', 'x9', 'x3', 'v5'), ('*', 'v2', 'v5', 'v6'), ('+', 'v2', 'x0', 'v7'), ('//', 'x3', 'const_1', 'v8'), ('+', 'x0', 'x8', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
2606,"[('//', 'x7', 'const_1', 'v0'), ('+', 'x2', 'x6', 'v1'), ('+', 'x7', 'x5', 'v2'), ('*', 'x9', 'const_0', 'v3'), ('*', 'x4', 'v1', 'v4'), ('//', 'x7', 'x9', 'v5'), ('//', 'v2', 'x5', 'v6'), ('//', 'v4', 'v5', 'v7'), ('*', 'v3', 'v4', 'v8'), ('//', 'x1', 'v2', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 1, 0, 0)",261
2607,"[('*', 'x7', 'x0', 'v0'), ('*', 'x9', 'x5', 'v1'), ('*', 'v0', 'x8', 'v2'), ('//', 'x4', 'x0', 'v3'), ('*', 'v2', 'x9', 'v4'), ('*', 'x9', 'v3', 'v5'), ('*', 'const_0', 'v4', 'v6'), ('*', 'x2', 'v3', 'v7'), ('//', 'const_0', 'v0', 'v8'), ('//', 'const_0', 'x4', 'v9')]",None,1024
2608,"[('//', 'x4', 'x3', 'v0'), ('//', 'const_0', 'x0', 'v1'), ('//', 'x9', 'const_1', 'v2'), ('*', 'const_1', 'v1', 'v3'), ('*', 'const_0', 'x2', 'v4'), ('*', 'v2', 'x8', 'v5'), ('*', 'x6', 'v4', 'v6'), ('*', 'const_0', 'v6', 'v7'), ('//', 'x2', 'x9', 'v8'), ('//', 'v2', 'x0', 'v9')]","(1, 0, 0, 0, 0, 0, 0, 0, 0, 1)",514
2609,"[('*', 'const_0', 'const_0', 'v0'), ('//', 'x1', 'const_1', 'v1'), ('*', 'x2', 'const_1', 'v2'), ('+', 'x3', 'v1', 'v3'), ('+', 'x8', 'v1', 'v4'), ('*', 'v0', 'const_0', 'v5'), ('//', 'x8', 'x0', 'v6'), ('//', 'x4', 'const_1', 'v7'), ('*', 'x8', 'v3', 'v8'), ('+', 'x1', 'v5', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",257
2610,"[('*', 'x0', 'x5', 'v0'), ('+', 'x8', 'x9', 'v1'), ('+', 'x5', 'x4', 'v2'), ('+', 'x9', 'x9', 'v3'), ('*', 'v0', 'const_1', 'v4'), ('*', 'x7', 'x5', 'v5'), ('//', 'x0', 'x9', 'v6'), ('//', 'x8', 'const_1', 'v7'), ('//', 'const_0', 'x0', 'v8'), ('*', 'x9', 'v5', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",22
2611,"[('+', 'x3', 'x1', 'v0'), ('+', 'x3', 'x2', 'v1'), ('//', 'x1', 'x9', 'v2'), ('+', 'x7', 'x9', 'v3'), ('//', 'v1', 'v2', 'v4'), ('*', 'x4', 'x8', 'v5'), ('*', 'x6', 'x5', 'v6'), ('//', 'x7', 'x4', 'v7'), ('//', 'v2', 'x7', 'v8'), ('*', 'x5', 'x8', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",19
2612,"[('//', 'x7', 'x4', 'v0'), ('*', 'x0', 'x0', 'v1'), ('*', 'v1', 'x0', 'v2'), ('//', 'const_1', 'x7', 'v3'), ('//', 'const_0', 'x5', 'v4'), ('+', 'v0', 'v4', 'v5'), ('//', 'v2', 'x2', 'v6'), ('*', 'x6', 'v1', 'v7'), ('*', 'x7', 'v7', 'v8'), ('*', 'x6', 'x1', 'v9')]","(0, 1, 0, 0, 0, 0, 1, 0, 0, 0)",265
2613,"[('+', 'x7', 'x6', 'v0'), ('+', 'x0', 'x5', 'v1'), ('*', 'x4', 'x3', 'v2'), ('+', 'x2', 'v0', 'v3'), ('*', 'x1', 'x5', 'v4'), ('*', 'x7', 'const_0', 'v5'), ('+', 'v1', 'x1', 'v6'), ('+', 'x3', 'x0', 'v7'), ('+', 'x9', 'x5', 'v8'), ('*', 'x8', 'v6', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",19
2614,"[('*', 'x0', 'x8', 'v0'), ('*', 'x1', 'x2', 'v1'), ('*', 'const_1', 'x2', 'v2'), ('+', 'x2', 'x9', 'v3'), ('//', 'x4', 'v3', 'v4'), ('+', 'x7', 'x0', 'v5'), ('//', 'v5', 'v4', 'v6'), ('*', 'v5', 'x8', 'v7'), ('//', 'x8', 'v3', 'v8'), ('//', 'const_1', 'x2', 'v9')]","(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",129
2615,"[('//', 'const_1', 'x3', 'v0'), ('//', 'x8', 'x2', 'v1'), ('//', 'v0', 'x5', 'v2'), ('//', 'v2', 'const_1', 'v3'), ('*', 'x1', 'x5', 'v4'), ('*', 'v2', 'const_1', 'v5'), ('+', 'const_0', 'v5', 'v6'), ('+', 'x2', 'x7', 'v7'), ('+', 'x2', 'v3', 'v8'), ('*', 'const_0', 'x5', 'v9')]",None,1024
2616,"[('+', 'x6', 'x1', 'v0'), ('//', 'x9', 'x3', 'v1'), ('//', 'x0', 'x9', 'v2'), ('+', 'x2', 'x9', 'v3'), ('//', 'x0', 'x4', 'v4'), ('//', 'v2', 'x2', 'v5'), ('+', 'x9', 'v3', 'v6'), ('//', 'x1', 'v2', 'v7'), ('//', 'v1', 'x7', 'v8'), ('+', 'x8', 'v3', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2
2617,"[('//', 'const_1', 'x3', 'v0'), ('+', 'x0', 'const_0', 'v1'), ('//', 'x3', 'v1', 'v2'), ('//', 'x0', 'x0', 'v3'), ('*', 'const_0', 'v1', 'v4'), ('//', 'x8', 'const_1', 'v5'), ('//', 'v3', 'v0', 'v6'), ('+', 'const_1', 'x9', 'v7'), ('//', 'v5', 'v2', 'v8'), ('*', 'x1', 'v6', 'v9')]","(1, 1, 0, 1, 0, 0, 0, 0, 0, 0)",833
2618,"[('//', 'x1', 'x9', 'v0'), ('+', 'x3', 'x5', 'v1'), ('+', 'x4', 'x0', 'v2'), ('*', 'const_1', 'x7', 'v3'), ('//', 'x8', 'x7', 'v4'), ('+', 'x5', 'x3', 'v5'), ('*', 'const_0', 'x9', 'v6'), ('+', 'x1', 'v6', 'v7'), ('*', 'v7', 'x7', 'v8'), ('*', 'x8', 'v8', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 1, 1, 0)",263
2619,"[('*', 'x8', 'const_1', 'v0'), ('*', 'x3', 'x7', 'v1'), ('//', 'x1', 'v1', 'v2'), ('*', 'x6', 'v0', 'v3'), ('*', 'x1', 'x3', 'v4'), ('*', 'x9', 'const_0', 'v5'), ('*', 'const_1', 'x3', 'v6'), ('//', 'x2', 'v2', 'v7'), ('//', 'x1', 'v7', 'v8'), ('+', 'const_1', 'const_0', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
2620,"[('+', 'x3', 'x5', 'v0'), ('+', 'x6', 'x5', 'v1'), ('//', 'v0', 'x4', 'v2'), ('+', 'x8', 'x8', 'v3'), ('+', 'v1', 'const_0', 'v4'), ('//', 'x8', 'x1', 'v5'), ('//', 'x7', 'x6', 'v6'), ('//', 'v0', 'v5', 'v7'), ('+', 'x2', 'v6', 'v8'), ('+', 'v3', 'x2', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
2621,"[('+', 'x9', 'const_1', 'v0'), ('//', 'x7', 'x9', 'v1'), ('*', 'x1', 'v1', 'v2'), ('+', 'const_1', 'x9', 'v3'), ('*', 'const_1', 'v2', 'v4'), ('+', 'x4', 'x3', 'v5'), ('+', 'v0', 'v1', 'v6'), ('+', 'x3', 'x3', 'v7'), ('+', 'v4', 'v2', 'v8'), ('*', 'x5', 'x0', 'v9')]","(1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",529
2622,"[('*', 'x1', 'const_1', 'v0'), ('*', 'v0', 'x6', 'v1'), ('//', 'x0', 'v0', 'v2'), ('+', 'v1', 'const_1', 'v3'), ('+', 'x3', 'x7', 'v4'), ('+', 'v0', 'x9', 'v5'), ('+', 'v1', 'v1', 'v6'), ('//', 'v4', 'v5', 'v7'), ('*', 'v2', 'v5', 'v8'), ('*', 'const_0', 'x5', 'v9')]",None,1024
2623,"[('*', 'const_1', 'x6', 'v0'), ('*', 'x7', 'x1', 'v1'), ('+', 'x8', 'x8', 'v2'), ('//', 'x2', 'x5', 'v3'), ('*', 'x6', 'v2', 'v4'), ('//', 'x5', 'x0', 'v5'), ('*', 'const_0', 'v2', 'v6'), ('*', 'x7', 'x7', 'v7'), ('//', 'v1', 'x3', 'v8'), ('+', 'v0', 'x0', 'v9')]","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9
2624,"[('*', 'x8', 'x5', 'v0'), ('+', 'x3', 'x1', 'v1'), ('*', 'x9', 'x0', 'v2'), ('//', 'x4', 'x7', 'v3'), ('*', 'x3', 'const_0', 'v4'), ('//', 'v4', 'v0', 'v5'), ('*', 'v4', 'v1', 'v6'), ('+', 'x0', 'v6', 'v7'), ('+', 'v1', 'x3', 'v8'), ('//', 'x8', 'v3', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",39
2625,"[('+', 'x9', 'x1', 'v0'), ('*', 'x2', 'x3', 'v1'), ('+', 'x0', 'x1', 'v2'), ('//', 'v1', 'x9', 'v3'), ('+', 'v1', 'x7', 'v4'), ('+', 'v0', 'x1', 'v5'), ('//', 'v1', 'const_1', 'v6'), ('//', 'const_0', 'x5', 'v7'), ('+', 'x0', 'const_1', 'v8'), ('+', 'v2', 'v3', 'v9')]","(0, 0, 1, 1, 0, 0, 0, 0, 0, 1)",194
2626,"[('*', 'x3', 'const_0', 'v0'), ('//', 'v0', 'x3', 'v1'), ('+', 'x3', 'x9', 'v2'), ('//', 'const_1', 'v2', 'v3'), ('*', 'x3', 'x1', 'v4'), ('+', 'x9', 'v1', 'v5'), ('*', 'x2', 'const_1', 'v6'), ('+', 'const_0', 'x9', 'v7'), ('*', 'v5', 'v6', 'v8'), ('+', 'v2', 'x3', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2
2627,"[('+', 'x6', 'x2', 'v0'), ('//', 'x1', 'x4', 'v1'), ('*', 'v0', 'x6', 'v2'), ('//', 'x1', 'x2', 'v3'), ('*', 'v3', 'v1', 'v4'), ('//', 'const_1', 'const_1', 'v5'), ('+', 'const_0', 'const_1', 'v6'), ('//', 'x9', 'x8', 'v7'), ('//', 'x1', 'x5', 'v8'), ('//', 'x6', 'x5', 'v9')]","(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",25
2628,"[('//', 'x3', 'x3', 'v0'), ('//', 'x6', 'x3', 'v1'), ('//', 'x7', 'x6', 'v2'), ('+', 'x0', 'x9', 'v3'), ('//', 'x0', 'x8', 'v4'), ('//', 'v1', 'x6', 'v5'), ('*', 'v3', 'v3', 'v6'), ('//', 'x2', 'x4', 'v7'), ('//', 'v7', 'x4', 'v8'), ('*', 'x8', 'v5', 'v9')]","(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",75
2629,"[('*', 'x7', 'x3', 'v0'), ('+', 'x4', 'x8', 'v1'), ('+', 'v1', 'x6', 'v2'), ('*', 'x5', 'v1', 'v3'), ('+', 'v1', 'x5', 'v4'), ('+', 'x4', 'x5', 'v5'), ('//', 'x7', 'x3', 'v6'), ('+', 'v6', 'x5', 'v7'), ('//', 'x9', 'x5', 'v8'), ('*', 'x7', 'const_1', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5
2630,"[('+', 'x6', 'x1', 'v0'), ('+', 'x0', 'x2', 'v1'), ('+', 'v1', 'x1', 'v2'), ('*', 'x1', 'v1', 'v3'), ('//', 'v2', 'v0', 'v4'), ('+', 'x5', 'x1', 'v5'), ('//', 'x4', 'v4', 'v6'), ('+', 'x5', 'const_1', 'v7'), ('+', 'x7', 'v5', 'v8'), ('+', 'x9', 'v4', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2
2631,"[('+', 'x7', 'x8', 'v0'), ('//', 'x2', 'const_1', 'v1'), ('*', 'x1', 'v1', 'v2'), ('//', 'const_0', 'x5', 'v3'), ('//', 'x7', 'x4', 'v4'), ('//', 'x0', 'x4', 'v5'), ('+', 'v3', 'const_0', 'v6'), ('+', 'x1', 'v1', 'v7'), ('+', 'v1', 'x3', 'v8'), ('*', 'const_1', 'x6', 'v9')]","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9
2632,"[('+', 'const_1', 'x0', 'v0'), ('+', 'x6', 'x9', 'v1'), ('+', 'x4', 'x8', 'v2'), ('*', 'x8', 'x2', 'v3'), ('//', 'const_0', 'x3', 'v4'), ('//', 'v0', 'v3', 'v5'), ('*', 'x5', 'v3', 'v6'), ('//', 'x0', 'v6', 'v7'), ('*', 'v0', 'x4', 'v8'), ('+', 'x4', 'x1', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",33
2633,"[('*', 'x1', 'x0', 'v0'), ('+', 'x8', 'x3', 'v1'), ('//', 'x9', 'x6', 'v2'), ('*', 'const_1', 'v2', 'v3'), ('//', 'const_0', 'x6', 'v4'), ('+', 'x7', 'x7', 'v5'), ('+', 'v1', 'v1', 'v6'), ('//', 'v6', 'v4', 'v7'), ('*', 'x3', 'x8', 'v8'), ('+', 'v2', 'x6', 'v9')]","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9
2634,"[('+', 'x5', 'x9', 'v0'), ('//', 'x5', 'x4', 'v1'), ('//', 'const_0', 'v0', 'v2'), ('//', 'x8', 'x9', 'v3'), ('+', 'x5', 'x6', 'v4'), ('//', 'x0', 'x4', 'v5'), ('//', 'x0', 'x6', 'v6'), ('*', 'v1', 'x9', 'v7'), ('//', 'v2', 'x4', 'v8'), ('*', 'v2', 'v0', 'v9')]",None,1024
2635,"[('//', 'x5', 'x7', 'v0'), ('+', 'x2', 'const_0', 'v1'), ('//', 'x4', 'x3', 'v2'), ('*', 'v0', 'x8', 'v3'), ('//', 'x4', 'v0', 'v4'), ('//', 'x8', 'x8', 'v5'), ('//', 'x1', 'v2', 'v6'), ('//', 'x3', 'v4', 'v7'), ('*', 'v7', 'const_0', 'v8'), ('*', 'const_1', 'v7', 'v9')]","(0, 0, 0, 1, 1, 1, 0, 1, 0, 0)",117
2636,"[('*', 'x9', 'x5', 'v0'), ('+', 'x2', 'x8', 'v1'), ('//', 'x1', 'x6', 'v2'), ('*', 'x3', 'x8', 'v3'), ('*', 'x3', 'v2', 'v4'), ('+', 'x4', 'x8', 'v5'), ('+', 'x6', 'x9', 'v6'), ('+', 'x4', 'x9', 'v7'), ('//', 'v1', 'x3', 'v8'), ('*', 'x5', 'x8', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",19
2637,"[('//', 'x5', 'x2', 'v0'), ('*', 'x0', 'x7', 'v1'), ('//', 'const_1', 'v1', 'v2'), ('+', 'x5', 'x8', 'v3'), ('*', 'x7', 'x0', 'v4'), ('+', 'x1', 'x6', 'v5'), ('//', 'x7', 'x5', 'v6'), ('//', 'v4', 'const_1', 'v7'), ('+', 'const_1', 'x6', 'v8'), ('+', 'v7', 'v6', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",21
2638,"[('+', 'x3', 'x3', 'v0'), ('//', 'x0', 'x2', 'v1'), ('+', 'x1', 'x5', 'v2'), ('*', 'x6', 'x9', 'v3'), ('//', 'x1', 'const_1', 'v4'), ('*', 'x7', 'v1', 'v5'), ('+', 'v4', 'v2', 'v6'), ('*', 'v1', 'x0', 'v7'), ('+', 'v3', 'x4', 'v8'), ('*', 'v5', 'x2', 'v9')]","(1, 0, 1, 0, 0, 0, 0, 1, 0, 0)",645
2639,"[('+', 'x3', 'x9', 'v0'), ('*', 'v0', 'x6', 'v1'), ('*', 'x6', 'x2', 'v2'), ('//', 'x2', 'v0', 'v3'), ('//', 'x8', 'x0', 'v4'), ('//', 'x3', 'x6', 'v5'), ('*', 'v2', 'v2', 'v6'), ('//', 'v4', 'x8', 'v7'), ('//', 'x2', 'v0', 'v8'), ('+', 'const_1', 'v4', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
2640,"[('//', 'x7', 'x0', 'v0'), ('//', 'x4', 'x0', 'v1'), ('*', 'x8', 'x2', 'v2'), ('//', 'v2', 'v2', 'v3'), ('//', 'x2', 'x7', 'v4'), ('//', 'v4', 'const_1', 'v5'), ('//', 'v3', 'x6', 'v6'), ('*', 'x8', 'v4', 'v7'), ('*', 'x3', 'x3', 'v8'), ('+', 'x8', 'v3', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
2641,"[('//', 'x3', 'x4', 'v0'), ('//', 'x3', 'v0', 'v1'), ('*', 'x7', 'x7', 'v2'), ('//', 'v2', 'x9', 'v3'), ('*', 'x9', 'v2', 'v4'), ('+', 'x9', 'v4', 'v5'), ('//', 'x1', 'x9', 'v6'), ('//', 'v4', 'const_1', 'v7'), ('//', 'x5', 'x2', 'v8'), ('//', 'x3', 'v7', 'v9')]","(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",70
2642,"[('+', 'x2', 'x2', 'v0'), ('+', 'x1', 'x1', 'v1'), ('*', 'x4', 'const_1', 'v2'), ('+', 'x7', 'v0', 'v3'), ('//', 'x7', 'v3', 'v4'), ('+', 'x6', 'x4', 'v5'), ('+', 'v5', 'x0', 'v6'), ('*', 'v5', 'const_1', 'v7'), ('*', 'v3', 'x9', 'v8'), ('+', 'v1', 'x9', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2
2643,"[('+', 'const_1', 'x2', 'v0'), ('*', 'x2', 'x4', 'v1'), ('//', 'x2', 'x0', 'v2'), ('//', 'x7', 'const_1', 'v3'), ('//', 'x1', 'v1', 'v4'), ('+', 'x3', 'v1', 'v5'), ('*', 'v1', 'x7', 'v6'), ('//', 'v3', 'x7', 'v7'), ('+', 'v6', 'x1', 'v8'), ('+', 'x3', 'v3', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5
2644,"[('+', 'x2', 'x9', 'v0'), ('*', 'x1', 'x0', 'v1'), ('//', 'const_1', 'const_1', 'v2'), ('*', 'x6', 'const_1', 'v3'), ('*', 'x6', 'const_0', 'v4'), ('*', 'x9', 'const_1', 'v5'), ('//', 'x1', 'x8', 'v6'), ('+', 'v3', 'x9', 'v7'), ('*', 'v1', 'x5', 'v8'), ('*', 'v1', 'const_0', 'v9')]",None,1024
2645,"[('*', 'x0', 'x2', 'v0'), ('//', 'x9', 'x8', 'v1'), ('*', 'x8', 'x2', 'v2'), ('//', 'x0', 'v2', 'v3'), ('+', 'v3', 'v2', 'v4'), ('*', 'v0', 'x7', 'v5'), ('//', 'x3', 'v4', 'v6'), ('//', 'x7', 'v6', 'v7'), ('*', 'const_0', 'const_0', 'v8'), ('*', 'v8', 'const_1', 'v9')]",None,1024
2646,"[('*', 'x9', 'x7', 'v0'), ('*', 'x0', 'x5', 'v1'), ('+', 'v0', 'x4', 'v2'), ('*', 'x1', 'v2', 'v3'), ('*', 'x9', 'x1', 'v4'), ('*', 'x0', 'x7', 'v5'), ('//', 'x4', 'x5', 'v6'), ('*', 'x1', 'x7', 'v7'), ('*', 'const_0', 'v4', 'v8'), ('*', 'v4', 'v7', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 1, 0, 1)",262
2647,"[('*', 'const_1', 'const_1', 'v0'), ('*', 'x3', 'x3', 'v1'), ('*', 'x8', 'x4', 'v2'), ('*', 'const_0', 'x3', 'v3'), ('*', 'x7', 'v2', 'v4'), ('*', 'v0', 'v2', 'v5'), ('*', 'v2', 'x9', 'v6'), ('*', 'x2', 'x6', 'v7'), ('//', 'x0', 'x3', 'v8'), ('+', 'v4', 'v6', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",36
2648,"[('//', 'x2', 'x5', 'v0'), ('+', 'x2', 'x8', 'v1'), ('+', 'x1', 'const_0', 'v2'), ('*', 'x6', 'x0', 'v3'), ('*', 'const_0', 'v3', 'v4'), ('+', 'x0', 'x8', 'v5'), ('//', 'v1', 'x2', 'v6'), ('*', 'v1', 'x3', 'v7'), ('//', 'v6', 'const_1', 'v8'), ('*', 'x2', 'v3', 'v9')]","(1, 0, 1, 0, 0, 0, 1, 0, 0, 0)",649
2649,"[('*', 'x1', 'x2', 'v0'), ('+', 'x6', 'x9', 'v1'), ('//', 'x9', 'v0', 'v2'), ('//', 'x9', 'x8', 'v3'), ('+', 'v1', 'x5', 'v4'), ('+', 'x0', 'v1', 'v5'), ('*', 'x9', 'x0', 'v6'), ('*', 'v5', 'x6', 'v7'), ('*', 'const_0', 'x2', 'v8'), ('*', 'x9', 'x5', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",18
2650,"[('+', 'x0', 'x2', 'v0'), ('*', 'const_1', 'v0', 'v1'), ('//', 'x4', 'x6', 'v2'), ('//', 'x1', 'x3', 'v3'), ('*', 'x5', 'const_0', 'v4'), ('//', 'x2', 'v4', 'v5'), ('//', 'x6', 'x1', 'v6'), ('*', 'v0', 'x7', 'v7'), ('*', 'x3', 'const_0', 'v8'), ('+', 'v5', 'x4', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",33
2651,"[('*', 'x2', 'x9', 'v0'), ('*', 'x7', 'x9', 'v1'), ('//', 'x6', 'x3', 'v2'), ('//', 'x7', 'x8', 'v3'), ('+', 'x1', 'x0', 'v4'), ('//', 'v1', 'v1', 'v5'), ('*', 'v2', 'v2', 'v6'), ('//', 'v3', 'v3', 'v7'), ('//', 'x7', 'x7', 'v8'), ('//', 'v6', 'x4', 'v9')]","(0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",105
2652,"[('+', 'x2', 'const_1', 'v0'), ('+', 'x8', 'x3', 'v1'), ('*', 'x2', 'x0', 'v2'), ('//', 'x8', 'x1', 'v3'), ('*', 'v3', 'v3', 'v4'), ('*', 'x8', 'x2', 'v5'), ('//', 'v0', 'v2', 'v6'), ('*', 'x9', 'x0', 'v7'), ('//', 'x6', 'v3', 'v8'), ('+', 'x6', 'v4', 'v9')]","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9
2653,"[('//', 'x2', 'x1', 'v0'), ('*', 'v0', 'x2', 'v1'), ('+', 'x3', 'x9', 'v2'), ('//', 'v2', 'v0', 'v3'), ('*', 'x3', 'x9', 'v4'), ('//', 'x2', 'v4', 'v5'), ('//', 'x6', 'v1', 'v6'), ('//', 'const_0', 'x1', 'v7'), ('+', 'v2', 'x2', 'v8'), ('//', 'v5', 'x3', 'v9')]","(0, 0, 1, 1, 0, 0, 0, 0, 0, 1)",194
